"Description","Elevation","Latitude","Longitude"
"Fiemme_Fassa_trk 168",841.5,46.279293,11.45067
"Fiemme_Fassa_trk 169",840.8,46.279376,11.450985
"Fiemme_Fassa_trk 170",840.4,46.279426,11.45117
"Fiemme_Fassa_trk 171",840.9,46.279407,11.451221
"Fiemme_Fassa_trk 172",842.0,46.279333,11.451308
"Fiemme_Fassa_trk 173",842.1,46.279314,11.451385
"Fiemme_Fassa_trk 174",842.1,46.279294,11.451488
"Fiemme_Fassa_trk 175",841.7,46.2793,11.451592
"Fiemme_Fassa_trk 176",841.4,46.279298,11.451696
"Fiemme_Fassa_trk 177",841.0,46.279285,11.451864
"Fiemme_Fassa_trk 178",840.5,46.279288,11.452137
"Fiemme_Fassa_trk 179",840.9,46.279295,11.452241
"Fiemme_Fassa_trk 180",841.1,46.279319,11.452385
"Fiemme_Fassa_trk 181",841.3,46.279326,11.452476
"Fiemme_Fassa_trk 182",842.5,46.279313,11.452696
"Fiemme_Fassa_trk 183",845.7,46.279307,11.453384
"Fiemme_Fassa_trk 184",849.2,46.279298,11.454642
"Fiemme_Fassa_trk 185",852.3,46.279295,11.455213
"Fiemme_Fassa_trk 186",853.5,46.279304,11.45559
"Fiemme_Fassa_trk 187",854.1,46.279308,11.455837
"Fiemme_Fassa_trk 188",855.1,46.279287,11.455966
"Fiemme_Fassa_trk 189",856.8,46.27924,11.456068
"Fiemme_Fassa_trk 190",859.3,46.279166,11.456142
"Fiemme_Fassa_trk 191",862.7,46.279057,11.456215
"Fiemme_Fassa_trk 192",865.8,46.278956,11.456289
"Fiemme_Fassa_trk 193",869.1,46.278846,11.456401
"Fiemme_Fassa_trk 194",871.9,46.278752,11.456565
"Fiemme_Fassa_trk 195",878.3,46.278656,11.456872
"Fiemme_Fassa_trk 196",882.9,46.278578,11.457167
"Fiemme_Fassa_trk 197",886.5,46.278486,11.457657
"Fiemme_Fassa_trk 198",889.6,46.278416,11.457978
"Fiemme_Fassa_trk 199",890.8,46.278395,11.45812
"Fiemme_Fassa_trk 200",890.8,46.278389,11.458392
"Fiemme_Fassa_trk 201",889.6,46.278405,11.458471
"Fiemme_Fassa_trk 202",889.6,46.278405,11.458471
"Fiemme_Fassa_trk 203",889.0,46.278413,11.458523
"Fiemme_Fassa_trk 204",885.7,46.278456,11.458642
"Fiemme_Fassa_trk 205",879.6,46.278542,11.458801
"Fiemme_Fassa_trk 206",876.1,46.278602,11.458947
"Fiemme_Fassa_trk 207",873.2,46.278659,11.459235
"Fiemme_Fassa_trk 208",868.1,46.278734,11.459511
"Fiemme_Fassa_trk 209",869.0,46.278782,11.459785
"Fiemme_Fassa_trk 210",871.8,46.278795,11.460007
"Fiemme_Fassa_trk 211",877.0,46.278797,11.460357
"Fiemme_Fassa_trk 212",880.9,46.278781,11.460694
"Fiemme_Fassa_trk 213",883.2,46.278783,11.46098
"Fiemme_Fassa_trk 214",883.5,46.278799,11.46111
"Fiemme_Fassa_trk 215",881.4,46.278884,11.461335
"Fiemme_Fassa_trk 216",880.4,46.278951,11.461546
"Fiemme_Fassa_trk 217",878.0,46.279044,11.461835
"Fiemme_Fassa_trk 218",877.3,46.279109,11.46215
"Fiemme_Fassa_trk 219",877.4,46.279167,11.462386
"Fiemme_Fassa_trk 220",875.6,46.279235,11.462571
"Fiemme_Fassa_trk 221",872.7,46.279312,11.462743
"Fiemme_Fassa_trk 222",870.2,46.279364,11.462836
"Fiemme_Fassa_trk 223",864.7,46.279453,11.462918
"Fiemme_Fassa_trk 224",861.4,46.279506,11.462946
"Fiemme_Fassa_trk 225",856.5,46.279586,11.462989
"Fiemme_Fassa_trk 226",858.0,46.279691,11.463111
"Fiemme_Fassa_trk 227",859.8,46.279804,11.463297
"Fiemme_Fassa_trk 228",860.8,46.279882,11.463443
"Fiemme_Fassa_trk 229",861.2,46.279943,11.46355
"Fiemme_Fassa_trk 230",860.4,46.280014,11.463605
"Fiemme_Fassa_trk 231",858.4,46.280138,11.463689
"Fiemme_Fassa_trk 232",855.8,46.280263,11.463733
"Fiemme_Fassa_trk 233",853.0,46.280389,11.463765
"Fiemme_Fassa_trk 234",852.3,46.280505,11.463809
"Fiemme_Fassa_trk 235",852.1,46.280647,11.46388
"Fiemme_Fassa_trk 236",851.6,46.280807,11.463952
"Fiemme_Fassa_trk 237",851.4,46.280949,11.464075
"Fiemme_Fassa_trk 238",850.8,46.281055,11.464145
"Fiemme_Fassa_trk 239",850.7,46.281134,11.464266
"Fiemme_Fassa_trk 240",850.2,46.28123,11.4644
"Fiemme_Fassa_trk 241",850.5,46.281344,11.464534
"Fiemme_Fassa_trk 242",852.6,46.281457,11.464721
