"Id del ";"Strada ";"Comune ";"Km da ";"Km a "
430;"SS 239";"PINZOLO";23.86;24.9
281;"SP 238";"POZZA DI FASSA";1.45;2.0
84;"SS 48";"POZZA DI FASSA";54.35;55.85
83;"SS 48";"POZZA DI FASSA";53.198;54.35
82;"SS 241";"POZZA DI FASSA";35.5;36.02
368;"SP 27";"PRASO";1.905;2.767
406;"SS 48";"PREDAZZO";36.03;38.5
408;"SS 50";"PREDAZZO";109.03;110.49
85;"SS 48";"PREDAZZO";36.03;38.5
407;"SS 50";"PREDAZZO";114.81;116.013
86;"SS 50";"PREDAZZO";114.81;116.013
87;"SS 50";"PREDAZZO";109.2;110.49
284;"SP 34 dir Preore";"PREORE";0.0;0.131
285;"SP 53";"PREORE";0.0;0.3
283;"SP 34";"PREORE";3.9;5.927
608;"SP 122";"PREZZO";0.935;2.086
609;"SP 122 dir Boniprati";"PREZZO";0.0;0.65
288;"SP 86";"RABBI";7.219;7.959
291;"SP 86 dir Piazzola";"RABBI";2.75;3.203
289;"SP 86";"RABBI";10.383;10.995
290;"SP 86 dir Piazzola";"RABBI";1.318;2.215
287;"SP 86";"RABBI";2.784;4.0
293;"SP 34";"RAGOLI";6.564;7.635
294;"SP 34";"RAGOLI";8.21;8.873
295;"SP 34 dir Ragoli";"RAGOLI";0.173;0.928
356;"SS 421";"RIVA DEL GARDA";61.55;62.15
344;"SP 36 dir Varone";"RIVA DEL GARDA";0.4;1.33
89;"SS 42";"ROMALLO";197.42;198.6
418;"SS 43 dir";"ROMENO";9.38;11.31
91;"SS 43 dir";"ROMENO";9.38;11.31
415;"SP 248";"ROMENO";1.735;3.075
417;"SS 43 dir";"ROMENO";6.2;7.61
90;"SS 43 dir";"ROMENO";6.2;7.61
414;"SP 248";"ROMENO";0.0;0.683
416;"SP 248";"ROMENO";3.73;4.187
611;"SP 65 dir";"RONCEGNO";0.0;0.576
612;"SP 228";"RONCEGNO";16.04;17.408
610;"SP 65";"RONCEGNO";0.889;3.054
92;"SS 237";"RONCONE";76.815;78.5
615;"SP 88";"RONZO-CHIENIS";10.279;11.714
616;"SP 48";"RONZO-CHIENIS";15.8;15.875
555;"SP 35";"RONZONE";1.774;1.921
554;"SS 42";"RONZONE";212.51;214.659
536;"SP 90 2配ronco dir";"ROVERETO";0.0;1.26
537;"SP 20";"ROVERETO";0.0;0.5
535;"SP 2";"ROVERETO";2.148;5.06
650;"SS 347";"SAGRON MIS";11.1;11.76
649;"SP 115";"SAGRON MIS";0.0;0.8
508;"SP 39";"SAMONE";1.436;1.738
96;"SS 43 dir";"SANZENO";3.45;4.75
303;"SP 4";"SANZENO";0.0;0.25
301;"SP 74";"SANZENO";6.218;6.315
302;"SP 24";"SANZENO";0.562;1.319
300;"SP 74";"SANZENO";4.557;5.472
99;"SS 50";"SIROR";94.8;96.4
97;"SS 50";"SIROR";73.3;74.5
98;"SS 50";"SIROR";84.0;86.95
568;"SP 7";"SMARANO";6.4;7.06
100;"SS 48";"SORAGA";49.05;50.25
409;"SS 48";"SORAGA";48.909;50.25
304;"SP 42";"SPERA";0.85;1.176
101;"SS 239";"SPIAZZO";37.35;39.23
522;"SS 239";"SPIAZZO";37.35;39.4
305;"SP 236";"SPIAZZO";0.0;0.624
523;"SP 236";"SPIAZZO";0.0;0.624
102;"SS 421";"SPORMAGGIORE";4.778;5.467
553;"SS 421";"SPORMAGGIORE";4.25;5.44
306;"SP 67";"SPORMINORE";3.186;3.879
437;"SS 421";"STENICO";36.45;36.955
434;"SP 33 dir Ponte Arche";"STENICO";0.0;0.353
308;"SP 34";"STENICO";17.45;18.15
435;"SP 33 dir Ponte Arche";"STENICO";0.743;1.385
432;"SP 34";"STENICO";17.433;18.12
433;"SP 34 dir Cros Val";"STENICO";0.5;1.01
307;"SP 34";"STENICO";14.604;15.74
309;"SP 34 dir Cros Val";"STENICO";0.44;1.01
311;"SP 33";"STENICO";0.75;1.45
