"@id";"@lat";"@lon";"name";"hiking"
805963867;46.404466;11.736028;;"yes"
805964004;46.4146154;11.7147173;;"yes"
805964154;46.4114039;11.7228724;;"yes"
805964165;46.4201789;11.7055815;;"yes"
805964268;46.4120058;11.7240057;;"yes"
805964373;46.4162542;11.7158415;;"yes"
805964528;46.4082994;11.7096632;;"yes"
805964664;46.4107387;11.7233472;;"yes"
805964784;46.404297;11.7090812;;"yes"
805981131;46.3200894;11.7986467;;"yes"
805981139;46.3095262;11.8192729;;"yes"
805981142;46.2994588;11.8056034;;"yes"
805981165;46.3011025;11.8146441;;"yes"
805981169;46.3217829;11.781972;;"yes"
806575906;45.8637651;10.6297217;"Stigolo";"yes"
811594958;45.8098536;10.908949;;"yes"
811595021;45.829722;10.9269602;;"yes"
811972269;45.7479701;11.0877335;"Prà Bel";"yes"
811972349;45.7783014;11.0847304;"Passo Buole";"yes"
811972431;45.7390461;11.0914008;"Casarino";"yes"
811972473;45.7239248;11.1369677;"Bocchetta Mosca";"yes"
811972719;45.7137458;11.0072461;"Malga Coe di Ala";
811972761;45.7529872;11.0900177;"Malga Val di Gatto";"yes"
812336706;45.745235;11.1311003;"Colletto delle Siebe";"yes"
813212853;45.7944594;10.896096;;
822217351;45.8723346;10.507762;;"yes"
822217371;45.8736003;10.5162752;;"yes"
822217417;45.8736797;10.5194959;;"yes"
822217742;45.9017717;10.5091527;;"yes"
827255027;45.8224417;10.9192247;;"yes"
828839318;46.14827;10.9434837;;
828839319;46.1497806;10.9488407;;
828839334;46.1483906;10.9389059;;
828839383;46.1447931;10.9435947;;
828839393;46.154398;10.9340634;;
828839411;46.1486292;10.9463822;;
830293648;46.1534315;10.8977023;;
833159591;45.8970481;10.7863474;;"yes"
833834941;45.9430614;10.5050177;;"yes"
833835098;45.9362599;10.5347774;;"yes"
833835212;45.9289583;10.5206452;;"yes"
839128493;46.1424907;10.8697675;;
839128525;46.1033127;10.8901703;;
839128627;46.142722;10.8696866;;
839128645;46.1228986;10.8837905;;
839128664;46.1301093;10.8800384;;
839128708;46.0891893;10.8863777;;
839128715;46.1136674;10.878881;;
839128756;46.1049246;10.8879145;;
839128837;46.1358789;10.883225;;"yes"
839128847;46.1141264;10.8825555;;
840891245;46.1439099;11.5679945;;
840891283;46.146979;11.5548881;;
840891335;46.1486086;11.5215225;;
840891347;46.1383183;11.5413207;;
840891396;46.1361052;11.544318;;
840891425;46.1385122;11.5409276;;
840891434;46.1348184;11.5687609;"Forcella Orsera";"yes"
840891485;46.147015;11.5608674;;
840891493;46.1463085;11.55076;;
840891531;46.145777;11.5340489;"Ponte Campivelo";
840891571;46.1488396;11.5195041;;
840891580;46.1433223;11.5705156;;"yes"
840891700;46.1345052;11.5444775;;
840891800;46.1378362;11.5419954;;
840891878;46.148662;11.5249933;;
841003184;46.2289064;10.9239431;;"yes"
842292198;46.0813816;11.3512561;;
848960343;46.0302363;11.0239344;;"yes"
848960623;46.032498;11.0140354;;"yes"
848960713;46.0311795;11.0205304;;"yes"
848961015;46.0324542;11.0158451;;"yes"
848961109;46.0333773;11.0121019;;"yes"
848961156;46.0267518;11.0235725;;"yes"
848961237;46.0313051;11.0198426;;"yes"
848961387;46.023885;11.0263768;;"yes"
848961498;46.0326545;11.0144769;;"yes"
848961584;46.0370802;11.0066742;;"yes"
848961611;46.0327994;11.01469;;"yes"
848961726;46.0367767;11.0065077;;"yes"
848961769;46.0297378;11.025258;;"yes"
848995022;46.4077437;11.7348454;;"yes"
848995182;46.3965398;11.7128262;;"yes"
848995406;46.4168408;11.7204508;;"yes"
848995456;46.4140562;11.7289731;;"yes"
848995500;46.3955826;11.7101285;;"yes"
848995576;46.3976205;11.7208775;;"yes"
848995784;46.3977939;11.733413;;"yes"
848995814;46.3984456;11.7365936;;"yes"
849558963;46.4207294;11.6280941;"Pian de Majarè";
849770895;46.0791424;10.9557062;;"yes"
850162514;46.182137;10.9975736;;
850162815;46.171392;10.996932;;
850162824;46.1732149;10.9964105;;
850162917;46.1754733;10.9925487;;
850163006;46.1815907;10.9866431;;
850587032;46.0059166;11.2115507;"Vigolo Vattaro - Bosentino";
850587044;46.0189924;11.1825944;"Pra Picol";"yes"
850587203;46.0260945;11.1829487;"Marzola Sud";"yes"
850587602;46.0203868;11.1821344;"Bivacco Marzola - Vigolo Vattaro";"yes"
850587729;46.0090962;11.2330451;"Vattaro - Malga Tomba";
850721604;45.869349;10.5443848;;"yes"
850721628;45.8689241;10.549163;;"yes"
850724566;45.8910447;10.5091412;;"yes"
850848775;46.1689598;10.9652536;;"yes"
850848791;46.1909747;10.9627289;;"yes"
850849482;46.1881968;10.9658576;;"yes"
850850289;46.187247;10.9675938;"Tabelle";"yes"
850850610;46.1903005;10.9645037;;"yes"
851183250;46.1779688;11.0061066;;"yes"
851183285;46.1737726;10.9758095;;"yes"
851183293;46.1773297;11.0053077;;"yes"
851742723;45.9616484;11.1917015;"Bus de le Zole";"yes"
851742952;45.9633042;11.1923376;;"yes"
851743161;45.9567158;11.1965385;"Albi";"yes"
851743984;45.9533719;11.1995648;"Rifugio Casarota - Bar Sindech";"yes"
851855310;46.2501286;10.9807746;;
853572694;45.9443467;11.1921916;"Cresta N-O del Cornetto";"yes"
853572915;45.9479837;11.2056905;"Ponte delle Zente";"yes"
853573033;45.9456188;11.2000382;"Ponte delle Zente - Cornetto di Folgaria";"yes"
854503123;45.9420179;10.6774872;;"yes"
863738640;46.0058886;11.1921206;"Croce via Fontanelle";
865231445;45.8342191;11.134628;;
865231453;45.8355966;11.1130259;;
865231483;45.8248647;11.1488675;"Malga Pozze";
865231494;45.8493972;11.1147383;;
865231525;45.8507348;11.1026694;;"yes"
865231573;45.8318037;11.1164777;;
865231595;45.8348309;11.1286669;;
865231599;45.8326979;11.116217;;
865231603;45.8544146;11.0982405;;"yes"
865231623;45.8278601;11.1345275;;
865231640;45.8492344;11.1133268;;"yes"
865231670;45.8270284;11.1443055;;
865231672;45.8361197;11.1130043;;
865231698;45.8270537;11.1467452;;
865231701;45.8366264;11.1127416;;
865231706;45.8230514;11.1596572;"Alpe Pozze";
865231740;45.8272657;11.1345487;;
865231745;45.8301271;11.1190555;;
869378837;46.1699538;11.6047685;;"yes"
869378913;46.1344034;11.5986653;"Malga Sorgazza";"yes"
869379002;46.1526768;11.5881251;;"yes"
869379064;46.144174;11.5918005;"Ponte Val Vendrame";"yes"
869379174;46.1709653;11.604284;"Lago di Cima d'Asta";"yes"
869379229;46.1340304;11.5996015;;"yes"
869379434;46.1476746;11.612745;;"yes"
869379456;46.16681;11.5967389;"Baita dei Pastori";"yes"
869379574;46.1640438;11.6116168;;"yes"
869379765;46.1395994;11.611925;;"yes"
869379891;46.1702418;11.6046307;;"yes"
869379975;46.1653094;11.5920009;"Bualon di Cima d'Asta";"yes"
869380266;46.1429694;11.5957208;;"yes"
871837362;46.0835669;11.1745124;;
871839038;46.0006096;11.1934535;;
878617248;46.1504254;10.813399;;"yes"
878617289;46.1572753;10.8154059;;
878617312;46.1476379;10.8083512;;"yes"
878617329;46.1574416;10.8288508;;"yes"
878617337;46.1491506;10.8100873;;"yes"
878617345;46.1525841;10.8140087;;"yes"
880511839;46.4596904;11.6319953;;
884213626;45.9014674;10.5543899;;"yes"
884213663;45.8744961;10.5301863;;"yes"
884219190;46.157434;10.9749168;;"yes"
886302296;46.375294;11.180273;;"yes"
886302581;46.372513;11.1785395;;"yes"
897785177;46.3673868;11.1642395;;"yes"
897785199;46.3711538;11.1791716;;"yes"
898164960;46.3643891;10.6682464;;"yes"
898164993;46.3822927;10.661411;;"yes"
898165176;46.3623306;10.6688732;;"yes"
898165189;46.3744734;10.6670631;;"yes"
898165218;46.3744691;10.6749019;;"yes"
898165612;46.362469;10.6689463;;"yes"
898165633;46.3669084;10.6690146;;"yes"
898165698;46.3750654;10.6688423;;"yes"
898165719;46.3785599;10.6710145;;"yes"
898165742;46.367614;10.6700282;;"yes"
903148554;45.8967568;10.9778894;;
903148976;45.8946265;10.9774017;"Faea";
903150160;45.8985004;10.9834766;;
903150809;45.8843688;10.9764471;;
903151458;45.8988754;10.9807302;;
903151692;45.8984132;10.9833848;;
903152237;45.885233;10.9701029;;
903461529;45.8605793;10.6981073;;
903721888;46.2863305;11.7836477;;
903721893;46.2897032;11.7853879;;
903721896;46.2787471;11.779702;"Forcella Cavallazza";"yes"
904488797;46.0092949;11.043198;;"yes"
904488846;46.0067892;11.0262419;;"yes"
904488898;45.9907363;11.031904;;"yes"
904488899;45.9960646;11.0444988;"Cima Verde";"yes"
904488904;46.00773;11.0406937;;"yes"
904488919;46.0041154;11.0258258;;"yes"
904488995;46.0155773;11.0386897;;"yes"
904489036;46.0157468;11.0383508;;"yes"
904489082;46.0074451;11.0270978;"Bocca Vaiona";"yes"
904489123;46.0062474;11.0390056;;"yes"
904489149;46.0055993;11.0256803;;"yes"
904489162;46.0200807;11.0432007;;"yes"
904489232;45.9898813;11.0392398;"Via attrezzata Giulio Segata";"yes"
904489249;45.9912492;11.0396877;;"yes"
