,latitude,longitude,brand,operator,locality,fuel:lpg,address
50,46.0872336,11.1059586,Q8,Odorizzi Roberto,TRENTO,yes,"Q8 Area Est, Via di Campotrentino, zona commerciale via Maccani, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 66, Italia"
51,46.0705021,11.1109445,Q8,Servizi & Gestioni Italia S.R.L.,TRENTO,,"Q8 Easy, Via Brescia, Piedicastello, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 66, Italia"
52,46.068889,11.136529199999998,Q8,Servizi & Gestioni Italia S.R.L.,TRENTO,,"Q8, 38, Via Venezia, Cernidor, San Vito, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
53,46.0574831,11.1282132,Esso,Stazione Esso Viale Verona S.N.C. di Oscar Dematte' e Andrea Pedr Otti,TRENTO,,"Esso, Viale Verona, Cernidor, Bolghera, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38123, Italia"
54,46.156708,11.815474,Independent,Indipend.,MEZZANO,,"Pompe Bianche, Via Roma, Sorive, Mezzano, Comunità di Primiero, Trento, Trentino-Alto Adige/Südtirol, 38054, Italia"
55,46.1676907,11.1146466,IP,Moser Carmela & Agnese S.N.C.,LAVIS,,"IP, Via Nazionale, Maso Rover, Maso Nero, Lavis, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38015, Italia"
56,45.9803082,11.1165452,Esso,Condini Catia,BESENELLO,yes,"Agip, Località Acquaviva, Acquaviva, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, Italia"
57,46.0480736,11.113788000000001,Esso,Stazione di Servizio Esso di Dematte' Oscar e Uber Lorenzo S.N.C.,TRENTO,no,"Man Malpensada, San Pio X, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, Italia"
58,45.9825836,10.9251918,Eni,Beatrici Diego,DRO,,"IP, SS45bis, Dro, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38074, Italia"
59,46.285038,11.436596,Tamoil,Casari Mauro,CASTELLO-MOLINA DI FIEMME,yes,"Tamoil, Strada Statale delle Dolomiti, Carano, Comunità territoriale della Val di Fiemme, Trento, Trentino-Alto Adige/Südtirol, 38033, Italia"
60,46.2725849,11.4194858,,Gas Motors di Delmarco Stefano e C. S.N.C.,CASTELLO-MOLINA DI FIEMME,,"IP, Via Segherie, Predaia, Castello-Molina di Fiemme, Comunità territoriale della Val di Fiemme, Trento, Trentino-Alto Adige/Südtirol, 38033, Italia"
61,46.150321000000005,11.2224209,Esso,Casagranda Bruno e C. S.N.C.,LONA-LASES,yes,"Esso, Via Nazionale, Lona-Lases, Comunità della Valle di Cembra, Trento, Trentino-Alto Adige/Südtirol, 38041, Italia"
62,46.1879342,11.259011300000001,IP,Cielle S.A.S. di Folgheraiter Candido e C.,SEGONZANO,,"IP, Strada Provinciale 71 Fersina - Avisio, Segonzano, Comunità della Valle di Cembra, Trento, Trentino-Alto Adige/Südtirol, 38047, Italia"
63,45.9343359,10.897648199999999,Eni,Mazzoni Paolo,ARCO,,"Agip, SS45bis, Bolognano, Arco, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38062, Italia"
64,45.9160258,10.879267800000001,Costantin,Eeffe Engineering Srl Unipersonale,ARCO,,"Constantin, Via Santa Caterina, Bolognano, Arco, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38062, Italia"
65,45.9087696,10.869027099999998,,Gruppo Nord Petroli S.R.L.,ARCO,,"Nord Petroli, Via Santa Caterina, Bolognano, Arco, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38062, Italia"
66,46.4197549,11.6806802,Q8,Alpichem Service di Blasco Andrea,VIGO DI FASSA,,"Q8, SS48, San Giovanni di Fassa, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 38039, Italia"
67,46.368674299999995,11.6517974,Esso,Bez Ezio,MOENA,,"Esso, SS48, Moena, Comun General de Fascia, Trento, Trentino-Alto Adige/Südtirol, 38035, Italia"
