"id strada";"denominazione";"localita di inizio strada";"localita di fine strada";"TIPO"
50;"del Monte Tombio";"Riva del Garda (incrocio con S.S. 421 km 63,317)";"Lago di Tenno (Incrocio con S.S. 421 al km 53,026)";"C"
51;"del Monte Tombio diramazione Campi";"km 7,956 della S.P. n. 37";"in centro abitato di Campi";"C"
342;"del Monte Tombio diramazione Riva del Garda";;;"C"
52;"di Cavizzana";"Bivio S.S. n. 42";"Cavizzana";"C"
53;"di Samone";"Tomaselli";"abitato Samone";"C"
54;"della Valle di Sella";"Borgo V.na - km 4,305 SP 109";"località Sella di Borgo";"C"
55;"Castelnuovo - Strigno";"Castelnuovo - km 1,200 S.P. 109";"Strigno (km 1,405 S.P. 78)";"C"
56;"Strigno - Spera";"abitato Strigno";"abitato Spera";"C"
57;"di Castelfondo";"S.S. 42 al km 206,480";"Forcella di Brez";"C"
58;"di Castelfondo diramazione Brez";;;"C"
59;"Isera - Valle San Felice";"Isera (bivio S.P. 90 Km 2,535)";"Valle S. Felice (bivio S.P. 88 Km 5,225)";"C"
60;"del Monte Velo";"Bolognano (bivio SS 240 dir. km 4,222)";"Ronzo - Chienis (bivio S.P. 88 Km 10,860)";"C"
61;"di Besenello";"Posta Vecchia (bivio S.S. 12 Km 364,300";"Calliano (bivio S.S. 12 Km 362,700)";"C"
62;"di Trambileno";"S. Colombano (bivio S.S. 46 Km 68,825)";"bivio S.S. 46 Km 65,250";"C"
63;"di Capriana";"S.S. 612 km 34,000";"Fine S.P. Paese Capriana";"C"
64;"di Capriana diramazione Trento";;"fine dir.";"C"
65;"di Montagne";"C.a.Preore S.P 34 al km 5.200";"C.a. Larzana ( Montagne )";"C"
300;"di Grauno";;;"C"
67;"di Campodenno";"Crescino";"Campodenno con immissione sulla S.P. 67 km 8,048";"C"
69;"di Campodenno diramazione Lover";;;"C"
68;"di Campodenno diramazione Dercolo";;;"C"
70;"di Caoria";"km 12,318 S.P. 79";"abitato Caoria";"C"
71;"Cis - Livo";"S.S. 42 al km 189,200";"Livo innesto con la S.P. 6 al km 1,940";"C"
72;"di Faedo";"centro abitato di San Michele";"Ville di Giovo";"C"
73;"Nomi - Calliano";"Nomi (bivio via Roma)";"Calliano (bivio via Marconi)";"C"
74;"Nomi - Calliano collegamento S.P. 90";"Nomi (bivio S.P. 59 Km 0,000)";"bivio S.P. 90 km 11,025";"C"
75;"di Ivano e Ospedaletto";"Abitato di Strigno S.P. 78 km 1,250";"Abitato Ospedaletto";"C"
76;"di Ivano e Ospedaletto diramazione Ivano";"S.P. 60 km 0,109";"Abitato Agnedo incr. S.P. 60 al km 1,106";"C"
340;"di Agnedo";"SS 47";"SP 60";"C"
77;"di Fai";"dopo l'abitato di Mezzolombardo staccandosi dalla S.S. 43";"centro abitato di Andalo all'intersezione con la S.S. 421";"C"
78;"Panoramica della Valsugana";"Marter incr. con S.P. n. 228 al km 17.491";"Abitato di Villa inc. con S.P. n. 78 al Km 0,780";"C"
81;"Panoramica della Valsugana diramazione Fontane";"Roncegno incr. con S.P. n. 65 al km 1,623";"incrocio con S.P. 109 al km 6,630";"C"
82;"di Montagnaga";"Pergine";"Baselga di Pinè";"C"
83;"del Lovernatico";"Crescino";"Cunevo S.P. 73 al km 5,809";"C"
84;"di Bresimo";"S.P. 6 di Rumo al km 2,408";"Bresimo";"C"
85;"di Storo e Bondone";"C.a. Storo";"C.a. Bondone";"C"
