"nome","first_arrival","last_departure","trip_time","electric_plug","wi-fi","bike_support","transportation_class"
"Sfruz","07:10:00","13:01:00","00:36:00",0,0,1,0
"Civezzano","07:40:00","nan","00:30:00",0,0,1,0
"Moena-Albergo Trentino","07:35:00","08:12:00","00:37:00",0,0,1,0
"Lundo","12:56:00","18:15:00","00:20:00",0,0,1,0
"S.Stefano","12:20:00","13:11:00","00:46:00",0,0,1,0
"Vermiglio Nord","08:10:00","18:37:00","00:47:00",0,0,1,0
"Masi di Sotto","13:50:00","13:55:00","00:05:00",0,0,1,0
"Castelfondo","13:10:00","19:17:00","00:35:00",0,0,1,0
"Sporminore","12:54:00","13:45:00","00:17:00",0,0,1,0
"Arco-Autostaz.","06:30:00","20:19:00","00:23:00",0,0,1,0
"Vezzano Apt","06:20:00","19:22:00","01:22:00",0,0,1,0
"Sopramonte","06:38:00","15:09:00","00:15:00",0,0,1,0
"Pian Del Gac Civ. 25","13:57:00","14:14:00","00:14:00",0,0,1,0
"Fiera di P. Via Roma 2","06:43:00","15:02:00","01:02:00",0,0,1,0
"Vigile","13:03:00","18:06:00","00:07:00",0,0,1,0
"Borgo Vals.-Valli","06:24:00","20:58:00","01:23:00",0,0,1,0
"Tavodo-Incr.S.P.","07:05:00","13:10:00","00:08:00",0,0,1,0
"Barco","09:25:00","17:43:00","00:08:00",0,0,1,0
"Romallo","09:05:00","09:19:00","00:14:00",0,0,1,0
"Casa Rossa-Bar Ristoro","06:20:00","06:30:00","00:10:00",0,0,1,0
"Faida","07:28:00","19:35:00","00:07:00",0,0,1,0
"Rovereto-Via Manzoni","05:55:00","18:44:00","00:48:00",0,0,1,0
"Rovereto-C.Rosmini-Monumento","06:54:00","07:46:00","00:52:00",0,0,1,0
"Casatta di Valfloriana","06:45:00","nan","00:30:00",0,0,1,0
"Fiorè","13:10:00","14:16:00","00:11:00",0,0,1,0
"Mezzolombardo Ferrovia","05:30:00","20:47:00","00:32:00",0,0,1,0
"Mezzolombardo Sc. Media","07:25:00","07:47:00","00:22:00",0,0,1,0
"Tiarno di Sopra","06:52:00","19:46:00","01:01:00",0,0,1,0
"Besagno","06:15:00","13:56:00","00:21:00",0,0,1,0
"Anghebeni","13:23:00","14:08:00","00:45:00",0,0,1,0
"Trento Forte Bus De Vela","06:10:00","06:32:00","00:22:00",0,0,1,0
"Feltre-Staz. Fs","06:11:00","14:14:00","00:57:00",0,0,1,0
"M.Campiglio Brenta Alta","06:40:00","nan","00:30:00",0,0,1,0
"Borgo Valsugana-C.Intermodale","05:35:00","23:01:00","00:56:00",0,0,1,0
