"stop_id";"stop_name";"stop_lat";"stop_lon"
84;"Lavis-Tornante-Via Cembra 50";46.141935;11.114444
85;"Maso Franch";46.143816;11.118841
86;"Mosana-Loc. Ai Castagnari";46.150492;11.12574
87;"Mosana";46.1544;11.137231
88;"Verla";46.157055;11.152529
89;"Verla-Cantina Rossi";46.154873;11.155408
90;"Valternigo";46.16079;11.15879
91;"Ville di Giovo";46.165785;11.157341
92;"Ville di Giovo-Maso Roncador";46.162212;11.140586
93;"Passo Croce";46.161487;11.134622
95;"Verla-Bivio";46.155898;11.160681
96;"Ceola";46.159677;11.171453
97;"Lisignago";46.160168;11.187701
98;"Lisignago-Loc.Bedin";46.164966;11.203565
99;"Cembra-Cimitero";46.174519;11.217348
100;"Cembra";46.174956;11.221714
101;"Fadana";46.177555;11.225071
102;"Cembra-Loc.Molini";46.180271;11.228397
103;"Faver Bivio";46.180959;11.231881
104;"Faver";46.181716;11.237795
105;"Faver-Ufficio Postale";46.183755;11.240754
106;"Faver-Loc. Portegnago";46.197032;11.246634
107;"Valda-Capitello";46.207069;11.262068
108;"Valda";46.206784;11.266464
109;"Grumes";46.221662;11.293931
110;"Grauno";46.229415;11.298255
111;"Capriana-Case Nuove";46.261033;11.339913
112;"Capriana";46.262789;11.339456
113;"Capriana-Albergo Miravalle";46.262057;11.343992
114;"Carbonare-Rover";46.266757;11.351746
115;"Stramentizzo Bivio";46.266504;11.406487
116;"Molina di Fiemme-Scuole";46.272941;11.417697
117;"Molina di F.-Via Segherie";46.272436;11.424112
118;"Molina di Fiemme-Scuole";46.274181;11.416707
119;"Castello di Fiemme-Conc.Fiat";46.278941;11.430137
121;"Castello di Fiemme";46.281233;11.434752
123;"Molina di Fiemme-Via Segherie";46.272409;11.424124
124;"Grumes";46.221405;11.294192
125;"Faver";46.181189;11.236672
126;"Fadana";46.178185;11.22599
127;"Cembra";46.175121;11.222045
128;"Lisignago";46.160227;11.187885
129;"Ceola";46.159589;11.170867
130;"Verla";46.157152;11.15281
131;"Lavis-Via Bresadola";46.143962;11.112745
132;"Lavis-Via Cembra 16";46.142757;11.105023
133;"Lamar di Gardolo-Ss.12-Ftm";46.125856;11.107861
134;"Gardolo-Ss.12";46.108559;11.108767
135;"Gardolo-Cicli Moser";46.102641;11.110469
137;"Casatta di Valfloriana";46.250381;11.344532
138;"Barcatta";46.250421;11.349659
139;"Villaggio Italo-Svizzero";46.247854;11.346661
142;"Casanova di Sicina";46.241992;11.349809
143;"Valle";46.238605;11.351281
144;"Montalbiano";46.234426;11.355133
145;"Sicina";46.230004;11.358752
532;"Trento-Via Giusti";46.063168;11.119074
533;"Trento-Via V.Veneto";46.057701;11.119291
535;"Trento-Via Lorenzoni";46.05838;11.122963
537;"Trento-Via S.Francesco";46.066636;11.126202
538;"Montesover";46.217084;11.327086
539;"Montesover-Strada Vernera";46.218166;11.326641
540;"Montesover-Strada Vernera 17";46.217389;11.324145
541;"Montesover-Carrozzeria";46.215296;11.328103
542;"Sveseri Bivio";46.20764;11.327808
543;"Piazzoli";46.214258;11.323611
544;"Facendi";46.214915;11.321421
546;"Sover";46.223891;11.312418
548;"Nave S.Felice";46.164603;11.112269
549;"Sorni Bivio";46.174975;11.122031
551;"Sorni";46.173837;11.120538
552;"Nave S.Felice";46.166611;11.112923
557;"Cavalese-Case Itea";46.289444;11.4692
559;"Milon";46.285862;11.479729
560;"Masi-Campo Sportivo";46.283459;11.480809
561;"Masi-Piccolo Bar";46.28336;11.48331
562;"Masi di Cavalese";46.28328;11.485357
563;"Masi-Via Chiesa Civ.118";46.284431;11.489109
564;"Marco di Cavalese";46.290351;11.476383
565;"Cavalese-Case Itea";46.289556;11.469413
566;"Carano-Via Giovanelli 11";46.292292;11.44266
567;"Carano-Municipio";46.292221;11.440488
568;"Carano";46.291789;11.438794
569;"Carano-Via Giovanelli";46.289849;11.438591
570;"Carano-Garnì Belvedere";46.287392;11.435856
572;"Villaggio Veronza-Bv.Pizzeria";46.287843;11.428652
574;"Villaggio Veronza-Via Pale";46.288769;11.43145
575;"V.Veronza-H.Veronza";46.289865;11.433202
578;"Trento-Via Valsugana";46.068327;11.136287
579;"Ponte Alto";46.073787;11.150439
580;"Pinè Bivio";46.081905;11.19497
581;"Sille";46.086063;11.202932
582;"Madrano-Belvedere";46.084668;11.210388
584;"Madrano";46.085924;11.214313
585;"Madrano-Via Della Vizza";46.091338;11.21218
587;"S.Mauro-Bivio";46.116607;11.222363
588;"Tressilla";46.128796;11.237227
589;"Baselga-Municipio";46.130017;11.243841
591;"Sternigo Bivio";46.141638;11.257922
592;"Rizzolaga";46.146547;11.264079
593;"Campolongo";46.149594;11.269501
594;"Piazze Bivio";46.155593;11.278561
595;"Piazze di Bedollo";46.155636;11.288077
596;"Castellani-Regnana Bivio";46.159769;11.298666
597;"Centrale di Bedollo";46.160828;11.302262
598;"Bedollo";46.164985;11.301342
599;"Bedollo Bivio";46.170023;11.312441
600;"Bedollo Villaggio";46.172909;11.317053
601;"Brusago-Via Verdi";46.175772;11.321442
602;"Brusago";46.182123;11.32586
603;"Brusago-Civ. 4";46.186573;11.329595
604;"Brusago-Maso Gabart";46.194274;11.327788
605;"Sette Fontane Bivio";46.199008;11.327741
606;"Sveseri";46.206441;11.323666
607;"Bedollo";46.164986;11.301527
608;"Piazze di Bedollo";46.155858;11.287334
609;"Campolongo";46.149606;11.269113
610;"Pinè Bivio";46.081958;11.196441
